threshold	n_solvable	n_total	controller	energy_savings_pct	adequate_rate	correct_rate	over_provision_rate	mean_miss_rate	pct_nano	pct_small	pct_medium	switches_per_100
0.3	1530	4236	AlwaysNano	65.64	12.75	12.75	0.0	0.447997	100.0	0.0	0.0	0.0
0.3	1530	4236	AlwaysMedium	-0.0	100.0	58.04	41.96	0.22546	0.0	0.0	100.0	0.0
0.3	1530	4236	BestFixed(small)	48.22	41.96	29.22	12.75	0.307618	0.0	100.0	0.0	0.0
0.3	1530	4236	Oracle	22.45	100.0	100.0	0.0	0.242024	12.7	29.2	58.0	12.77
0.3	1530	4236	CascadingThreshold(tau=0.010)	-0.0	100.0	58.04	41.96	0.22546	0.0	0.0	100.0	0.0
0.3	1530	4236	CascadingThreshold2D(ns=0.010,sm=0.010)	-0.0	100.0	58.04	41.96	0.22546	0.0	0.0	100.0	0.0
0.3	1530	4236	BayesMPC(H=1,lu=10.0,ws=0.03)	8.18	97.12	63.99	33.14	0.22888	7.5	6.7	85.8	3.47
0.3	1530	4236	RichMPC(lu=10.0,lo=0.1)	8.09	97.32	64.18	33.14	0.228602	7.5	6.5	85.9	3.64
0.3	1530	4236	RecoveryMPC(lu=10.0,lo=0.5,tns=0.05,tsm=0.02)	12.58	89.93	57.52	32.42	0.245132	10.5	11.8	77.7	10.08
0.3	1530	4236	RecoveryMPC_balanced(l=5.0,tns=0.05,tsm=0.1)	49.35	41.37	33.07	8.3	0.305911	6.5	93.5	0.0	3.38
0.35	2332	4236	AlwaysNano	65.64	12.61	12.61	0.0	0.493027	100.0	0.0	0.0	0.0
0.35	2332	4236	AlwaysMedium	-0.0	100.0	52.96	47.04	0.259829	0.0	0.0	100.0	0.0
0.35	2332	4236	BestFixed(small)	48.22	47.04	34.43	12.61	0.345882	0.0	100.0	0.0	0.0
0.35	2332	4236	Oracle	24.88	100.0	100.0	0.0	0.286809	12.6	34.4	53.0	19.36
0.35	2332	4236	CascadingThreshold(tau=0.010)	-0.0	100.0	52.96	47.04	0.259829	0.0	0.0	100.0	0.0
0.35	2332	4236	CascadingThreshold2D(ns=0.010,sm=0.010)	-0.0	100.0	52.96	47.04	0.259829	0.0	0.0	100.0	0.0
0.35	2332	4236	BayesMPC(H=1,lu=10.0,ws=0.03)	7.84	96.31	57.8	38.51	0.266596	6.1	8.0	85.9	3.94
0.35	2332	4236	RichMPC(lu=20.0,lo=0.1)	6.8	97.81	58.75	39.07	0.264099	6.0	5.9	88.1	3.23
0.35	2332	4236	RecoveryMPC(lu=10.0,lo=0.5,tns=0.05,tsm=0.02)	10.8	90.91	52.7	38.21	0.279474	8.8	10.4	80.8	10.08
0.35	2332	4236	RecoveryMPC_balanced(l=5.0,tns=0.05,tsm=0.08)	49.51	44.77	35.29	9.48	0.349695	7.4	92.6	0.0	4.89
0.4	3098	4236	AlwaysNano	65.64	15.46	15.46	0.0	0.525671	100.0	0.0	0.0	0.0
0.4	3098	4236	AlwaysMedium	-0.0	100.0	45.03	54.97	0.288139	0.0	0.0	100.0	0.0
0.4	3098	4236	BestFixed(small)	48.22	54.97	39.51	15.46	0.375573	0.0	100.0	0.0	0.0
0.4	3098	4236	Oracle	29.2	100.0	100.0	0.0	0.328844	15.5	39.5	45.0	26.27
0.4	3098	4236	CascadingThreshold(tau=0.010)	-0.0	100.0	45.03	54.97	0.288139	0.0	0.0	100.0	0.0
0.4	3098	4236	CascadingThreshold2D(ns=0.010,sm=0.010)	-0.0	100.0	45.03	54.97	0.288139	0.0	0.0	100.0	0.0
0.4	3098	4236	BayesMPC(H=1,lu=10.0,ws=0.03)	23.04	82.41	48.26	34.15	0.32583	5.5	40.3	54.2	12.56
0.4	3098	4236	RichMPC(lu=20.0,lo=0.5)	16.39	89.51	50.23	39.28	0.312921	5.4	26.6	68.0	12.11
0.4	3098	4236	RecoveryMPC(lu=10.0,lo=0.5,tns=0.05,tsm=0.02)	9.92	91.83	45.16	46.68	0.307518	7.9	9.8	82.3	10.08
0.4	3098	4236	RecoveryMPC_balanced(l=5.0,tns=0.05,tsm=0.08)	49.34	52.84	40.03	12.81	0.37929	6.4	93.6	0.0	4.89
0.5	4003	4236	AlwaysNano	65.64	26.98	26.98	0.0	0.559206	100.0	0.0	0.0	0.0
0.5	4003	4236	AlwaysMedium	-0.0	100.0	22.13	77.87	0.322719	0.0	0.0	100.0	0.0
0.5	4003	4236	BestFixed(small)	48.22	77.87	50.89	26.98	0.412275	0.0	100.0	0.0	0.0
0.5	4003	4236	Oracle	42.25	100.0	100.0	0.0	0.404758	27.0	50.9	22.1	32.18
0.5	4003	4236	CascadingThreshold(tau=0.010)	-0.0	100.0	22.13	77.87	0.322719	0.0	0.0	100.0	0.0
0.5	4003	4236	CascadingThreshold2D(ns=0.010,sm=0.010)	-0.0	100.0	22.13	77.87	0.322719	0.0	0.0	100.0	0.0
0.5	4003	4236	BayesMPC(H=1,lu=10.0,ws=0.03)	43.04	79.57	52.86	26.7	0.410329	17.1	66.0	16.9	12.16
0.5	4003	4236	RichMPC(lu=20.0,lo=0.1)	40.11	81.54	49.69	31.85	0.402329	13.7	64.5	21.8	12.13
0.5	4003	4236	RecoveryMPC(lu=10.0,lo=0.5,tns=0.05,tsm=0.02)	10.69	92.51	23.06	69.45	0.346769	9.2	9.7	81.1	10.08
0.5	4003	4236	RecoveryMPC_balanced(l=5.0,tns=0.05,tsm=0.1)	49.14	77.07	52.31	24.76	0.413911	5.3	94.7	0.0	3.38
