frame_id,fn_nano,nano_tp,nano_fp,nano_count,fn_medium,medium_tp,medium_fp,medium_count,x_count,mean_iou_nano,mean_iou_medium
1,6,7,2,9,0,13,4,17,13,0.8917812705039978,0.9282569885253906
2,4,9,1,10,1,12,3,15,13,0.8744196891784668,0.9055135846138
3,5,11,0,11,2,14,4,18,16,0.8569358587265015,0.9390758275985718
4,8,7,3,10,0,15,2,17,15,0.876660168170929,0.9594799280166626
5,10,4,1,5,1,13,3,16,14,0.9266717433929443,0.9429599046707153
6,12,4,1,5,3,13,0,13,16,0.9078763127326965,0.9257639646530151
7,10,4,1,5,1,13,4,17,14,0.9046391248703003,0.960074782371521
8,11,7,1,8,1,17,1,18,18,0.8682808876037598,0.9258022904396057
9,10,6,2,8,1,15,0,15,16,0.8509986400604248,0.9245884418487549
10,8,9,0,9,0,17,1,18,17,0.8640533089637756,0.9352146983146667
11,10,8,1,9,0,18,3,21,18,0.8924323320388794,0.9559919834136963
12,7,4,1,5,2,9,0,9,11,0.8637123107910156,0.9323809742927551
13,6,4,0,4,1,9,1,10,10,0.8477141261100769,0.9112427830696106
14,7,4,1,5,1,10,0,10,11,0.928037703037262,0.9300473928451538
15,5,4,0,4,0,9,0,9,9,0.9374288320541382,0.9341223835945129
16,6,5,1,6,3,8,1,9,11,0.8444414138793945,0.8877058029174805
17,5,5,3,8,1,9,1,10,10,0.7734248042106628,0.8960137963294983
18,2,6,1,7,0,8,1,9,8,0.8595492839813232,0.8960752487182617
19,2,5,1,6,1,6,1,7,7,0.8272125124931335,0.9313275814056396
20,2,4,3,7,2,4,3,7,6,0.818756103515625,0.9755913615226746
21,2,4,1,5,1,5,2,7,6,0.8067821860313416,0.9591925740242004
22,6,2,1,3,1,7,0,7,8,0.952366828918457,0.8987489938735962
23,6,4,0,4,1,9,0,9,10,0.8508579134941101,0.9496328830718994
24,5,6,1,7,2,9,0,9,11,0.8339443802833557,0.9046496152877808
25,8,4,1,5,3,9,0,9,12,0.8058697581291199,0.9253193736076355
26,6,3,0,3,0,9,0,9,9,0.9110102653503418,0.9289421439170837
27,5,3,2,5,2,6,2,8,8,0.8858593106269836,0.9666510224342346
28,7,5,3,8,3,9,1,10,12,0.7803879976272583,0.9398110508918762
29,7,6,0,6,1,12,1,13,13,0.9033945202827454,0.9139811396598816
30,7,3,1,4,1,9,0,9,10,0.9374684691429138,0.9392064213752747
31,6,4,1,5,2,8,0,8,10,0.9258365631103516,0.9343581795692444
32,9,3,0,3,3,9,0,9,12,0.9358255863189697,0.939330518245697
33,4,6,1,7,0,10,1,11,10,0.8377842903137207,0.9388387799263
34,6,5,2,7,1,10,1,11,11,0.8113115429878235,0.9031679034233093
35,4,7,1,8,0,11,0,11,11,0.8191915154457092,0.9486682415008545
36,5,6,1,7,0,11,2,13,11,0.8985363841056824,0.9484671950340271
37,7,5,1,6,1,11,1,12,12,0.7686513066291809,0.9205922484397888
38,8,6,0,6,4,10,2,12,14,0.8148282170295715,0.9036225080490112
39,9,5,0,5,2,12,1,13,14,0.9052939414978027,0.9101309180259705
40,7,5,1,6,1,11,0,11,12,0.8713493347167969,0.9534837603569031
41,4,5,2,7,0,9,0,9,9,0.8400739431381226,0.9406852722167969
42,8,5,4,9,1,12,0,12,13,0.8639702796936035,0.9505319595336914
43,9,5,3,8,1,13,0,13,14,0.8814139366149902,0.9043712615966797
44,8,5,2,7,1,12,0,12,13,0.8185755014419556,0.9385446906089783
45,8,5,0,5,1,12,0,12,13,0.8522108197212219,0.9539301991462708
46,7,5,1,6,0,12,0,12,12,0.888440728187561,0.9521772265434265
47,7,5,1,6,1,11,0,11,12,0.9245964288711548,0.9519948959350586
48,7,5,1,6,2,10,0,10,12,0.8237005472183228,0.9483860731124878
49,7,6,2,8,0,13,0,13,13,0.8370006680488586,0.9528465867042542
50,7,6,3,9,0,13,1,14,13,0.8546727299690247,0.9628113508224487
51,7,6,2,8,1,12,0,12,13,0.8672465682029724,0.9199449419975281
52,7,5,1,6,2,10,2,12,12,0.9365604519844055,0.9379750490188599
53,9,6,2,8,3,12,2,14,15,0.9133822321891785,0.9290516972541809
54,9,6,3,9,2,13,0,13,15,0.9188120365142822,0.9483597874641418
55,8,9,1,10,3,14,1,15,17,0.8482978343963623,0.9540272951126099
56,10,6,0,6,3,13,0,13,16,0.8503418564796448,0.9412031769752502
57,9,6,3,9,2,13,1,14,15,0.8293086886405945,0.9459420442581177
58,8,6,3,9,1,13,0,13,14,0.8441950678825378,0.933359682559967
59,5,9,2,11,3,11,1,12,14,0.759789228439331,0.9244926571846008
60,7,7,1,8,2,12,1,13,14,0.8437781929969788,0.9191787242889404
61,7,7,1,8,5,9,2,11,14,0.8570622205734253,0.9404604434967041
62,5,6,0,6,1,10,2,12,11,0.7497207522392273,0.9242721796035767
63,5,7,1,8,1,11,1,12,12,0.7549263834953308,0.9503215551376343
64,6,7,2,9,0,13,1,14,13,0.8483180403709412,0.921761155128479
65,7,6,0,6,2,11,3,14,13,0.8356131911277771,0.9596074819564819
66,3,7,0,7,0,10,1,11,10,0.8347452878952026,0.950912594795227
67,4,8,1,9,1,11,0,11,12,0.8571001291275024,0.9333948493003845
68,5,8,1,9,1,12,1,13,13,0.7624799013137817,0.9188270568847656
69,5,7,1,8,2,10,2,12,12,0.7742840647697449,0.9193545579910278
70,9,4,2,6,1,12,2,14,13,0.8972868919372559,0.9599361419677734
71,7,4,0,4,2,9,1,10,11,0.8748102784156799,0.9430142641067505
72,10,3,0,3,1,12,1,13,13,0.8962783813476562,0.9381319880485535
73,10,3,1,4,2,11,2,13,13,0.8942468762397766,0.9354477524757385
74,7,7,0,7,2,12,1,13,14,0.8075338006019592,0.9575650691986084
75,9,4,1,5,2,11,1,12,13,0.8474500179290771,0.9152413010597229
76,8,4,0,4,2,10,1,11,12,0.9295766353607178,0.9183481335639954
77,7,6,1,7,1,12,1,13,13,0.8705734610557556,0.937743604183197
78,9,4,2,6,2,11,0,11,13,0.9190880656242371,0.9152841567993164
79,4,6,0,6,0,10,0,10,10,0.8146665692329407,0.9664952158927917
80,5,7,0,7,3,9,0,9,12,0.8480968475341797,0.938121497631073
81,4,8,1,9,3,9,1,10,12,0.8306827545166016,0.96589595079422
82,3,10,0,10,1,12,0,12,13,0.8554766774177551,0.9442024827003479
83,3,10,0,10,1,12,1,13,13,0.8372361063957214,0.9473744034767151
84,4,9,0,9,1,12,0,12,13,0.8171905279159546,0.9316360950469971
85,4,10,0,10,1,13,0,13,14,0.8541644811630249,0.9570430517196655
86,6,9,0,9,1,14,0,14,15,0.9261294603347778,0.9659529328346252
87,6,8,0,8,1,13,2,15,14,0.9098899960517883,0.9431437849998474
88,9,8,2,10,1,16,1,17,17,0.9037588834762573,0.9409668445587158
89,10,8,3,11,3,15,2,17,18,0.8927873373031616,0.9400749802589417
90,8,10,0,10,1,17,0,17,18,0.889260470867157,0.9549635648727417
91,5,11,1,12,0,16,1,17,16,0.8461954593658447,0.9637013077735901
92,6,11,2,13,0,17,2,19,17,0.8590360879898071,0.9697332978248596
93,8,9,2,11,1,16,1,17,17,0.8424276113510132,0.9655832052230835
94,6,10,2,12,0,16,2,18,16,0.8445566892623901,0.9568434953689575
95,5,11,1,12,0,16,0,16,16,0.8116407990455627,0.9524679183959961
96,8,9,2,11,0,17,0,17,17,0.8863645792007446,0.9438835382461548
97,8,9,1,10,0,17,0,17,17,0.8424116373062134,0.9596759676933289
98,13,7,2,9,2,18,1,19,20,0.8997611999511719,0.9559326171875
99,6,10,2,12,0,16,3,19,16,0.8076648712158203,0.954542875289917
100,6,10,0,10,3,13,4,17,16,0.8309862017631531,0.9289114475250244
101,10,6,1,7,2,14,1,15,16,0.7760188579559326,0.9398900270462036
102,7,7,1,8,1,13,2,15,14,0.8473356366157532,0.9578779935836792
103,6,9,0,9,0,15,1,16,15,0.8260084390640259,0.9558524489402771
104,7,7,0,7,0,14,2,16,14,0.8576435446739197,0.944014847278595
105,7,7,1,8,0,14,1,15,14,0.8030911684036255,0.9194905161857605
106,7,8,1,9,1,14,3,17,15,0.852780818939209,0.9351845383644104
107,7,8,1,9,1,14,2,16,15,0.817983865737915,0.9037731289863586
108,6,6,1,7,0,12,4,16,12,0.825263261795044,0.9198777079582214
109,7,5,1,6,0,12,0,12,12,0.7342569231987,0.9332483410835266
110,8,5,0,5,2,11,0,11,13,0.7878943085670471,0.9288427233695984
111,5,5,0,5,1,9,1,10,10,0.7740688323974609,0.9074575901031494
112,7,2,1,3,0,9,1,10,9,0.7813222408294678,0.9122788310050964
113,5,4,0,4,1,8,0,8,9,0.8144394159317017,0.9062032699584961
114,5,2,1,3,0,7,0,7,7,0.7598669528961182,0.9113283753395081
115,5,2,0,2,0,7,0,7,7,0.7397432327270508,0.915863037109375
116,6,1,0,1,1,6,0,6,7,0.8539108633995056,0.9099674820899963
117,4,2,0,2,1,5,0,5,6,0.6669377088546753,0.9257552027702332
118,5,2,0,2,1,6,0,6,7,0.718527615070343,0.9228119254112244
119,7,1,1,2,1,7,0,7,8,0.702927827835083,0.8677466511726379
120,7,1,0,1,0,8,0,8,8,0.7336819171905518,0.8578513860702515
121,7,1,1,2,0,8,0,8,8,0.7001128196716309,0.8474541902542114
