feature	ns_drop_mean	ns_drop_std	sm_drop_mean	sm_drop_std	combined_score
fft_high_freq_energy_ratio	-0.005957	0.002483	-0.002253	0.00403	-0.004105
fft_critical_band_ratio	-0.005862	0.00368	6.5e-05	0.002368	-0.002898
laplacian_variance	-0.008626	0.003451	-0.001535	0.004457	-0.00508
laplacian_mean_abs	-0.006619	0.003549	0.001501	0.004086	-0.002559
edge_density_fine	-0.000317	0.00897	0.004078	0.006095	0.00188
edge_density_coarse	0.003351	0.000472	0.004919	0.010556	0.004135
edge_fine_coarse_ratio	0.010456	0.002688	0.007396	0.002893	0.008926
fast_keypoints_full	0.004781	0.010251	0.004408	0.005396	0.004595
fast_keypoints_half	0.012917	0.00779	0.008719	0.006176	0.010818
keypoint_loss_ratio	0.015048	0.010351	0.009402	0.008888	0.012225
spatial_frequency	-0.006782	0.004003	0.000644	0.004405	-0.003069
gradient_magnitude_mean	0.000248	0.00345	0.00602	0.008816	0.003134
gradient_magnitude_std	-0.006081	0.002561	-0.001018	0.002624	-0.00355
dct_high_freq_ratio	-0.009716	0.003982	0.000454	0.001443	-0.004631
gabor_nyquist_energy	-0.005479	0.001386	0.0014	0.005499	-0.00204
downsample_ssim	-0.005491	0.003144	-0.00356	0.003293	-0.004526
downsample_info_loss	-0.00695	0.00517	0.001319	0.004221	-0.002815
foreground_pixel_ratio	0.011878	0.002121	0.015738	0.003571	0.013808
shadow_pixel_ratio	-0.000479	0.000714	0.005954	0.004758	0.002737
foreground_blob_count	0.063525	0.014961	0.027263	0.012397	0.045394
foreground_blob_area_mean	0.005622	0.002853	0.009814	0.001805	0.007718
foreground_blob_area_std	-0.000299	0.000811	0.001965	0.003206	0.000833
foreground_blob_pa_ratio	0.025063	0.001875	0.024014	0.004266	0.024539
foreground_edge_density	0.110436	0.01377	0.016088	0.007299	0.063262
temporal_diff_mean	0.005628	0.002775	-0.000743	0.003303	0.002442
temporal_diff_std	-0.005788	0.007548	0.007002	0.005592	0.000607
motion_pixel_ratio	-0.002014	0.001954	0.002561	0.002331	0.000274
image_entropy	-0.001405	0.002059	-0.000932	0.001246	-0.001168
glcm_contrast	0.008091	0.007396	-0.002344	0.002908	0.002873
glcm_homogeneity	0.042223	0.015371	0.014083	0.006972	0.028153
glcm_energy	0.016297	0.010837	0.018195	0.011278	0.017246
glcm_entropy	0.039851	0.009643	0.018535	0.004308	0.029193
colorfulness	-0.01428	0.009744	0.003566	0.013125	-0.005357
mean_brightness	0.000432	0.0042	0.011042	0.01563	0.005737
brightness_std	-0.001169	0.00393	0.000881	0.002242	-0.000144
dark_channel_mean	0.023193	0.013616	0.007999	0.003835	0.015596
small_edge_components	0.01314	0.006774	0.001864	0.003346	0.007502
total_edge_components	0.011983	0.002851	0.003256	0.002534	0.007619
overall_edge_density	-0.001636	0.00677	0.006187	0.006119	0.002275
rms_contrast	0.003358	0.005436	0.001843	0.003555	0.0026
saturation_mean	0.021565	0.004224	0.017206	0.005883	0.019386
saturation_std	0.007476	0.003917	-0.008986	0.001863	-0.000755
mscn_mean	-0.001659	0.001307	-0.003121	0.002499	-0.00239
mscn_std	-0.004536	0.006111	-0.002892	0.003859	-0.003714
mscn_kurtosis	0.014859	0.010369	0.015465	0.002992	0.015162
mscn_skewness	0.006662	0.015302	0.002941	0.013119	0.004802
mscn_h_pair_mean	-0.008626	0.000905	-0.002113	0.003051	-0.00537
mscn_h_pair_std	-0.0089	0.006045	0.001203	0.004202	-0.003848
mscn_v_pair_mean	0.015438	0.005684	0.001444	0.001463	0.008441
mscn_v_pair_std	-0.008794	0.000707	-0.000513	0.003127	-0.004653
top_laplacian_var	0.000105	0.000965	-0.000112	0.004419	-3e-06
top_gradient_std	0.001309	0.000299	6.9e-05	0.002973	0.000689
top_edge_density	0.006797	0.007347	0.00729	0.002032	0.007044
top_high_freq_energy	-0.009926	0.002109	-0.002711	0.002065	-0.006319
mid_laplacian_var	-0.002591	0.007073	0.001063	0.009325	-0.000764
mid_gradient_std	-0.014142	0.00338	0.003095	0.009633	-0.005524
mid_edge_density	-0.027773	0.011991	0.021319	0.022772	-0.003227
mid_high_freq_energy	0.020928	0.007349	0.006521	0.015245	0.013724
bot_laplacian_var	-0.00691	0.005462	-0.0045	0.000437	-0.005705
bot_gradient_std	-0.004505	0.001346	-0.005485	0.001988	-0.004995
bot_edge_density	-0.005519	0.002428	-0.00371	0.003297	-0.004615
bot_high_freq_energy	0.0417	0.007999	0.001886	0.009669	0.021793
ratio_top_bot_edge_density	0.015031	0.006056	0.002866	0.001018	0.008948
ratio_top_bot_gradient_std	0.00091	0.001127	-0.001114	0.001035	-0.000102
ratio_top_bot_laplacian_var	0.00513	0.00279	-0.001394	0.001691	0.001868
