feature	nano_drop_mean	nano_drop_std	ns_drop_mean	ns_drop_std	sm_drop_mean	sm_drop_std	combined_score
fft_high_freq_energy_ratio	-0.000309	0.001758	-0.005957	0.002483	-0.002253	0.00403	-0.003156
fft_critical_band_ratio	5.3e-05	0.00112	-0.005862	0.00368	6.5e-05	0.002368	-0.002161
laplacian_variance	-0.001942	0.002944	-0.008626	0.003451	-0.001535	0.004457	-0.004296
laplacian_mean_abs	0.000632	0.004147	-0.006619	0.003549	0.001501	0.004086	-0.001761
edge_density_fine	0.000953	0.001555	-0.000317	0.00897	0.004078	0.006095	0.001649
edge_density_coarse	-0.000954	0.004095	0.003351	0.000472	0.004919	0.010556	0.002863
edge_fine_coarse_ratio	0.003194	0.003516	0.010456	0.002688	0.007396	0.002893	0.007493
fast_keypoints_full	0.001941	0.001472	0.004781	0.010251	0.004408	0.005396	0.003931
fast_keypoints_half	0.001358	0.000605	0.012917	0.00779	0.008719	0.006176	0.008453
keypoint_loss_ratio	0.002103	0.0016	0.015048	0.010351	0.009402	0.008888	0.009695
spatial_frequency	0.000731	0.00216	-0.006782	0.004003	0.000644	0.004405	-0.002119
gradient_magnitude_mean	-0.001079	0.003317	0.000248	0.00345	0.00602	0.008816	0.002081
gradient_magnitude_std	0.000183	0.000817	-0.006081	0.002561	-0.001018	0.002624	-0.002617
dct_high_freq_ratio	0.000247	0.000352	-0.009716	0.003982	0.000454	0.001443	-0.003411
gabor_nyquist_energy	-0.000642	0.001235	-0.005479	0.001386	0.0014	0.005499	-0.00169
downsample_ssim	0.000781	0.001278	-0.005491	0.003144	-0.00356	0.003293	-0.003199
downsample_info_loss	2.1e-05	0.000662	-0.00695	0.00517	0.001319	0.004221	-0.002106
foreground_pixel_ratio	0.01057	0.003038	0.011878	0.002121	0.015738	0.003571	0.012999
shadow_pixel_ratio	0.000788	0.000489	-0.000479	0.000714	0.005954	0.004758	0.00225
foreground_blob_count	0.038971	0.012086	0.063525	0.014961	0.027263	0.012397	0.043788
foreground_blob_area_mean	0.007648	0.003322	0.005622	0.002853	0.009814	0.001805	0.0077
foreground_blob_area_std	0.001201	0.000796	-0.000299	0.000811	0.001965	0.003206	0.000925
foreground_blob_pa_ratio	0.015417	0.002211	0.025063	0.001875	0.024014	0.004266	0.022258
foreground_edge_density	0.05912	0.037083	0.110436	0.01377	0.016088	0.007299	0.062226
temporal_diff_mean	0.000964	0.00185	0.005628	0.002775	-0.000743	0.003303	0.002073
temporal_diff_std	-0.000509	0.001286	-0.005788	0.007548	0.007002	0.005592	0.000328
motion_pixel_ratio	-0.002778	0.002507	-0.002014	0.001954	0.002561	0.002331	-0.000489
image_entropy	0.00126	0.002179	-0.001405	0.002059	-0.000932	0.001246	-0.000561
glcm_contrast	0.000311	0.001014	0.008091	0.007396	-0.002344	0.002908	0.002233
glcm_homogeneity	0.015989	0.014449	0.042223	0.015371	0.014083	0.006972	0.025112
glcm_energy	0.008786	0.002098	0.016297	0.010837	0.018195	0.011278	0.015131
glcm_entropy	0.006116	0.008808	0.039851	0.009643	0.018535	0.004308	0.023423
colorfulness	0.000169	0.005185	-0.01428	0.009744	0.003566	0.013125	-0.003975
mean_brightness	0.012986	0.006684	0.000432	0.0042	0.011042	0.01563	0.007549
brightness_std	0.003391	0.00346	-0.001169	0.00393	0.000881	0.002242	0.00074
dark_channel_mean	0.030454	0.005077	0.023193	0.013616	0.007999	0.003835	0.019311
small_edge_components	0.005231	0.005298	0.01314	0.006774	0.001864	0.003346	0.006934
total_edge_components	0.00505	0.004226	0.011983	0.002851	0.003256	0.002534	0.006977
overall_edge_density	0.000116	0.005149	-0.001636	0.00677	0.006187	0.006119	0.001735
rms_contrast	0.005673	0.000433	0.003358	0.005436	0.001843	0.003555	0.003369
saturation_mean	0.007429	0.000484	0.021565	0.004224	0.017206	0.005883	0.016397
saturation_std	0.004315	0.001037	0.007476	0.003917	-0.008986	0.001863	0.000512
mscn_mean	-0.003698	0.001419	-0.001659	0.001307	-0.003121	0.002499	-0.002717
mscn_std	0.001427	0.003571	-0.004536	0.006111	-0.002892	0.003859	-0.002429
mscn_kurtosis	0.010756	0.004741	0.014859	0.010369	0.015465	0.002992	0.01406
mscn_skewness	-0.001145	0.007858	0.006662	0.015302	0.002941	0.013119	0.003315
mscn_h_pair_mean	0.00127	0.003068	-0.008626	0.000905	-0.002113	0.003051	-0.00371
mscn_h_pair_std	-0.000412	0.007198	-0.0089	0.006045	0.001203	0.004202	-0.002989
mscn_v_pair_mean	0.007208	0.003933	0.015438	0.005684	0.001444	0.001463	0.008133
mscn_v_pair_std	-0.000247	0.002727	-0.008794	0.000707	-0.000513	0.003127	-0.003552
top_laplacian_var	-0.001692	0.003221	0.000105	0.000965	-0.000112	0.004419	-0.000426
top_gradient_std	-0.000971	0.002268	0.001309	0.000299	6.9e-05	0.002973	0.000274
top_edge_density	0.00433	0.003006	0.006797	0.007347	0.00729	0.002032	0.006365
top_high_freq_energy	-0.002065	0.003635	-0.009926	0.002109	-0.002711	0.002065	-0.005255
mid_laplacian_var	-0.001215	0.007452	-0.002591	0.007073	0.001063	0.009325	-0.000877
mid_gradient_std	0.001299	0.007749	-0.014142	0.00338	0.003095	0.009633	-0.003818
mid_edge_density	0.004875	0.010904	-0.027773	0.011991	0.021319	0.022772	-0.001202
mid_high_freq_energy	0.001251	0.002715	0.020928	0.007349	0.006521	0.015245	0.010606
bot_laplacian_var	0.000856	0.001353	-0.00691	0.005462	-0.0045	0.000437	-0.004065
bot_gradient_std	0.000315	0.002713	-0.004505	0.001346	-0.005485	0.001988	-0.003667
bot_edge_density	0.001157	0.003245	-0.005519	0.002428	-0.00371	0.003297	-0.003172
bot_high_freq_energy	0.004928	0.00791	0.0417	0.007999	0.001886	0.009669	0.017577
ratio_top_bot_edge_density	0.000643	0.001314	0.015031	0.006056	0.002866	0.001018	0.006872
ratio_top_bot_gradient_std	-0.002151	0.002214	0.00091	0.001127	-0.001114	0.001035	-0.000614
ratio_top_bot_laplacian_var	0.000488	0.001367	0.00513	0.00279	-0.001394	0.001691	0.001523
