config_id	window	horizon	lr	dropout	n_steps	train_stride	eval_stride	r_nano	r_ns	r_sm	combined_score	best_val_loss	best_epoch	elapsed_s
w15_h12_lr0.0005_d0.2	15	12	0.0005	0.2	2	7	15	0.745578	0.588551	0.288028	0.43829	0.014827	13	350.1
w15_h12_lr0.0005_d0.3	15	12	0.0005	0.3	2	7	15	0.743915	0.589458	0.276308	0.432883	0.015158	11	369.8
w15_h12_lr0.0005_d0.4	15	12	0.0005	0.4	2	7	15	0.745153	0.5851	0.27495	0.430025	0.015086	9	382.9
w15_h12_lr0.0005_d0.5	15	12	0.0005	0.5	2	7	15	0.728167	0.572725	0.27672	0.424722	0.014893	11	394.5
w15_h12_lr0.001_d0.2	15	12	0.001	0.2	2	7	15	0.759531	0.564157	0.251637	0.407897	0.01509	10	416.9
w15_h12_lr0.001_d0.3	15	12	0.001	0.3	2	7	15	0.749217	0.554277	0.308474	0.431376	0.014921	10	405.4
w15_h12_lr0.001_d0.4	15	12	0.001	0.4	2	7	15	0.751373	0.561888	0.276853	0.41937	0.015196	10	406.5
w15_h12_lr0.001_d0.5	15	12	0.001	0.5	2	7	15	0.750565	0.546983	0.296621	0.421802	0.015146	10	376.6
w15_h12_lr0.003_d0.2	15	12	0.003	0.2	2	7	15	0.754377	0.639708	0.313112	0.47641	0.014973	8	379.4
w15_h12_lr0.003_d0.3	15	12	0.003	0.3	2	7	15	0.744666	0.611905	0.305134	0.45852	0.014491	8	420.9
w15_h12_lr0.003_d0.4	15	12	0.003	0.4	2	7	15	0.724647	0.630235	0.299388	0.464812	0.015106	8	397.5
w15_h12_lr0.003_d0.5	15	12	0.003	0.5	2	7	15	0.713002	0.589829	0.281297	0.435563	0.01475	44	649.1
w15_h18_lr0.0005_d0.2	15	18	0.0005	0.2	3	7	15	0.769344	0.599222	0.213067	0.406144	0.015205	7	439.5
w15_h18_lr0.0005_d0.3	15	18	0.0005	0.3	3	7	15	0.753582	0.625843	0.287287	0.456565	0.015308	13	463.3
w15_h18_lr0.0005_d0.4	15	18	0.0005	0.4	3	7	15	0.746266	0.651527	0.26918	0.460353	0.015014	13	455.7
w15_h18_lr0.0005_d0.5	15	18	0.0005	0.5	3	7	15	0.760666	0.586051	0.296386	0.441218	0.015338	7	444.6
w15_h18_lr0.001_d0.2	15	18	0.001	0.2	3	7	15	0.770007	0.628591	0.300141	0.464366	0.01543	17	476.2
w15_h18_lr0.001_d0.3	15	18	0.001	0.3	3	7	15	0.770326	0.599866	0.279134	0.4395	0.015696	4	380.9
w15_h18_lr0.001_d0.4	15	18	0.001	0.4	3	7	15	0.759255	0.621922	0.291703	0.456813	0.015432	4	419.0
w15_h18_lr0.001_d0.5	15	18	0.001	0.5	3	7	15	0.767382	0.572606	0.284533	0.428569	0.015398	7	403.1
w15_h18_lr0.003_d0.2	15	18	0.003	0.2	3	7	15	0.775615	0.65581	0.246822	0.451316	0.015177	12	451.0
w15_h18_lr0.003_d0.3	15	18	0.003	0.3	3	7	15	0.757103	0.527376	0.333844	0.43061	0.015582	10	417.7
w15_h18_lr0.003_d0.4	15	18	0.003	0.4	3	7	15	0.75066	0.559302	0.194188	0.376745	0.015097	18	543.4
w15_h18_lr0.003_d0.5	15	18	0.003	0.5	3	7	15	0.765038	0.491229	0.300614	0.395921	0.015917	12	459.7
w15_h30_lr0.0005_d0.2	15	30	0.0005	0.2	5	7	15	0.737361	0.534772	0.242048	0.38841	0.015939	27	638.0
w15_h30_lr0.0005_d0.3	15	30	0.0005	0.3	5	7	15	0.784994	0.596172	0.238285	0.417228	0.015772	27	622.6
w15_h30_lr0.0005_d0.4	15	30	0.0005	0.4	5	7	15	0.787775	0.619929	0.261798	0.440863	0.015918	12	683.7
w15_h30_lr0.0005_d0.5	15	30	0.0005	0.5	5	7	15	0.780414	0.603662	0.262143	0.432902	0.015997	12	686.6
w15_h30_lr0.001_d0.2	15	30	0.001	0.2	5	7	15	0.763186	0.647199	0.306798	0.476998	0.016215	5	1043.5
w15_h30_lr0.001_d0.3	15	30	0.001	0.3	5	7	15	0.769414	0.603754	0.283957	0.443856	0.016145	27	1524.7
w15_h30_lr0.001_d0.4	15	30	0.001	0.4	5	7	15	0.756221	0.649654	0.289087	0.46937	0.015956	3	982.5
w15_h30_lr0.001_d0.5	15	30	0.001	0.5	5	7	15	0.767822	0.622628	0.327091	0.474859	0.015941	8	1623.6
w15_h30_lr0.003_d0.2	15	30	0.003	0.2	5	7	15	0.757811	0.646165	0.254524	0.450344	0.015956	5	1531.4
w15_h30_lr0.003_d0.3	15	30	0.003	0.3	5	7	15	0.775063	0.675862	0.299495	0.487679	0.015822	1	1408.9
w15_h30_lr0.003_d0.4	15	30	0.003	0.4	5	7	15	0.776898	0.689055	0.328752	0.508904	0.016162	1	1279.7
w15_h30_lr0.003_d0.5	15	30	0.003	0.5	5	7	15	0.711988	0.47942	0.296392	0.387906	0.01592	27	2209.1
w15_h42_lr0.0005_d0.2	15	42	0.0005	0.2	7	7	15	0.766693	0.622887	0.281605	0.452246	0.016583	1	882.0
w15_h42_lr0.0005_d0.3	15	42	0.0005	0.3	7	7	15	0.786898	0.580537	0.280401	0.430469	0.016214	10	1191.1
w15_h42_lr0.0005_d0.4	15	42	0.0005	0.4	7	7	15	0.784636	0.542187	0.313338	0.427763	0.016313	10	1083.6
w15_h42_lr0.0005_d0.5	15	42	0.0005	0.5	7	7	15	0.779844	0.587604	0.318031	0.452818	0.015974	10	1026.5
w15_h42_lr0.001_d0.2	15	42	0.001	0.2	7	7	15	0.727062	0.579039	0.234679	0.406859	0.016931	12	1207.4
w15_h42_lr0.001_d0.3	15	42	0.001	0.3	7	7	15	0.785884	0.60755	0.256767	0.432158	0.016208	10	1237.9
