config	n_features	seed	best_epoch	elapsed_s	within_r_nano	cross_r_nano	within_r_ns	cross_r_ns	within_r_sm	cross_r_sm
full_k80	80	42	2	72.1	0.871756	0.523869	0.764676	0.433698	0.258734	0.366803
full_k80	80	43	11	144.3	0.860911	0.511183	0.733073	0.549758	0.30578	0.388431
full_k80	80	44	8	133.1	0.868155	0.507314	0.72107	0.531375	0.286589	0.38933
drop_Foreground_spatial	75	42	20	167.4	0.860318	0.484329	0.643657	0.560241	0.310308	0.358803
drop_Foreground_spatial	75	43	3	128.8	0.873606	0.522477	0.669207	0.539908	0.285862	0.297596
drop_Foreground_spatial	75	44	18	172.8	0.87223	0.522751	0.681163	0.377899	0.27597	0.389848
drop_Color_and_illumination	73	42	5	133.2	0.863369	0.441078	0.612557	0.559185	0.263414	0.326329
drop_Color_and_illumination	73	43	0	121.3	0.861225	0.545425	0.730609	0.496239	0.236115	0.406626
drop_Color_and_illumination	73	44	1	124.7	0.86948	0.500813	0.728455	0.530866	0.222042	0.338222
drop_MSCN_and_regional	63	42	1	124.4	0.861554	0.252708	0.71867	0.416596	0.193023	0.349927
drop_MSCN_and_regional	63	43	0	119.8	0.860254	0.504591	0.726545	0.434229	0.223692	0.420436
drop_MSCN_and_regional	63	44	14	158.8	0.857275	0.422907	0.748761	0.569453	0.206598	0.353367
drop_GLCM	76	42	12	158.3	0.847637	0.432019	0.736989	0.544977	0.247692	0.38853
drop_GLCM	76	43	5	136.9	0.86509	0.351192	0.738682	0.425348	0.274908	0.350722
drop_GLCM	76	44	7	138.2	0.853296	0.403105	0.730823	0.464304	0.27265	0.358167
drop_Foreground_and_motion	71	42	10	143.0	0.868375	0.461518	0.720927	0.516922	0.327477	0.330931
drop_Foreground_and_motion	71	43	4	127.0	0.860605	0.548326	0.668744	0.440363	0.231671	0.348476
drop_Foreground_and_motion	71	44	12	143.2	0.866126	0.542551	0.636231	0.529911	0.251181	0.334206
drop_Edge_and_texture	70	42	16	148.7	0.868232	0.431809	0.722489	0.601202	0.334404	0.302469
drop_Edge_and_texture	70	43	7	124.8	0.871607	0.528061	0.758308	0.624455	0.242715	0.377165
drop_Edge_and_texture	70	44	12	143.2	0.859668	0.549798	0.693615	0.546764	0.284347	0.345251
drop_Spectral	77	42	0	111.7	0.864177	0.529863	0.761785	0.451429	0.216464	0.411867
drop_Spectral	77	43	2	114.2	0.873262	0.570006	0.689648	0.514754	0.28504	0.387306
drop_Spectral	77	44	4	116.9	0.865917	0.515481	0.685935	0.446402	0.317104	0.381503
drop_Contour	77	42	9	129.6	0.864462	0.535438	0.726837	0.437289	0.286754	0.325727
drop_Contour	77	43	2	110.6	0.874916	0.50868	0.651097	0.485749	0.27331	0.395192
drop_Contour	77	44	6	118.1	0.858067	0.48357	0.696514	0.443316	0.277075	0.345095
drop_Blob_geometry	70	42	13	134.7	0.869563	0.406074	0.753731	0.594362	0.199098	0.321482
drop_Blob_geometry	70	43	3	111.7	0.861726	0.485179	0.687603	0.522463	0.20057	0.33083
drop_Blob_geometry	70	44	0	104.3	0.846212	0.544856	0.71487	0.421707	0.237078	0.426043
drop_Visual_clutter	78	42	1	104.7	0.848769	0.511146	0.738915	0.472112	0.19034	0.365903
drop_Visual_clutter	78	43	13	137.1	0.85594	0.548383	0.721318	0.585739	0.276243	0.3674
drop_Visual_clutter	78	44	3	116.5	0.863359	0.564937	0.730662	0.514417	0.226023	0.332096
drop_Motion_structure	76	42	14	153.3	0.864059	0.491303	0.677355	0.554559	0.229249	0.365158
drop_Motion_structure	76	43	0	111.8	0.84531	0.439611	0.691492	0.149563	0.164437	0.389636
drop_Motion_structure	76	44	1	115.0	0.859112	0.485711	0.697173	0.418864	0.286352	0.263984
drop_Frequency	74	42	1	116.0	0.86058	0.525279	0.699329	0.344016	0.307256	0.382141
drop_Frequency	74	43	7	131.8	0.855252	0.541521	0.749803	0.562162	0.146289	0.357317
drop_Frequency	74	44	1	114.1	0.862703	0.562932	0.735165	0.517894	0.285686	0.435701
