threshold	n_solvable	n_total	controller	energy_savings_pct	adequate_rate	correct_rate	over_provision_rate	mean_miss_rate	pct_nano	pct_small	pct_medium	switches_per_100
0.3	1530	4236	AlwaysNano	65.64	12.75	12.75	0.0	0.447997	100.0	0.0	0.0	0.0
0.3	1530	4236	AlwaysSmall	48.22	41.96	29.22	12.75	0.307618	0.0	100.0	0.0	0.0
0.3	1530	4236	AlwaysMedium	-0.0	100.0	58.04	41.96	0.22546	0.0	0.0	100.0	0.0
0.3	1530	4236	Oracle	22.45	100.0	100.0	0.0	0.242024	12.7	29.2	58.0	12.77
0.3	1530	4236	DirectThreshold(mn=0.08,ms=0.00)	6.65	98.89	63.53	35.36	0.226034	5.4	6.4	88.2	3.42
0.3	1530	4236	BayesMPC(H=1,lu=10.0)	8.74	97.25	65.75	31.5	0.228724	8.6	6.5	85.0	4.04
0.3	1530	4236	RichMPC(lu=10.0,lo=0.3)	8.8	97.12	65.69	31.44	0.229234	8.7	6.4	84.9	4.11
0.35	2332	4236	AlwaysNano	65.64	12.61	12.61	0.0	0.493027	100.0	0.0	0.0	0.0
0.35	2332	4236	AlwaysSmall	48.22	47.04	34.43	12.61	0.345882	0.0	100.0	0.0	0.0
0.35	2332	4236	AlwaysMedium	-0.0	100.0	52.96	47.04	0.259829	0.0	0.0	100.0	0.0
0.35	2332	4236	Oracle	24.88	100.0	100.0	0.0	0.286809	12.6	34.4	53.0	19.36
0.35	2332	4236	DirectThreshold(mn=0.00,ms=0.00)	6.5	97.94	58.7	39.24	0.263596	6.3	4.9	88.8	3.82
0.35	2332	4236	BayesMPC(H=1,lu=10.0)	7.73	96.66	58.7	37.95	0.266611	6.7	6.9	86.4	4.53
0.35	2332	4236	RichMPC(lu=20.0,lo=0.1)	6.95	97.6	59.01	38.59	0.264501	6.5	5.5	88.0	3.85
0.4	3098	4236	AlwaysNano	65.64	15.46	15.46	0.0	0.525671	100.0	0.0	0.0	0.0
0.4	3098	4236	AlwaysSmall	48.22	54.97	39.51	15.46	0.375573	0.0	100.0	0.0	0.0
0.4	3098	4236	AlwaysMedium	-0.0	100.0	45.03	54.97	0.288139	0.0	0.0	100.0	0.0
0.4	3098	4236	Oracle	29.2	100.0	100.0	0.0	0.328844	15.5	39.5	45.0	26.27
0.4	3098	4236	DirectThreshold(mn=0.00,ms=0.02)	6.1	97.48	49.42	48.06	0.293329	5.4	5.3	89.3	3.75
0.4	3098	4236	BayesMPC(H=1,lu=10.0)	12.58	92.22	50.19	42.03	0.306736	5.8	18.1	76.0	13.01
0.4	3098	4236	RichMPC(lu=20.0,lo=0.1)	8.43	95.09	49.03	46.06	0.299145	5.7	9.7	84.6	5.88
0.5	4003	4236	AlwaysNano	65.64	26.98	26.98	0.0	0.559206	100.0	0.0	0.0	0.0
0.5	4003	4236	AlwaysSmall	48.22	77.87	50.89	26.98	0.412275	0.0	100.0	0.0	0.0
0.5	4003	4236	AlwaysMedium	-0.0	100.0	22.13	77.87	0.322719	0.0	0.0	100.0	0.0
0.5	4003	4236	Oracle	42.25	100.0	100.0	0.0	0.404758	27.0	50.9	22.1	32.18
0.5	4003	4236	DirectThreshold(mn=0.10,ms=0.00)	33.39	87.13	45.17	41.97	0.380811	4.2	63.5	32.3	17.61
0.5	4003	4236	BayesMPC(H=1,lu=10.0)	42.89	81.24	52.34	28.9	0.403537	10.8	74.2	15.0	11.4
0.5	4003	4236	RichMPC(lu=20.0,lo=0.1)	39.79	82.71	49.79	32.93	0.397931	10.7	68.0	21.3	12.91
