feature	ns_drop_mean	sm_drop_mean	combined_score	rank
fg_spatial_entropy	0.116323	0.042609	0.158932	1
saturation_mean	0.062394	0.03062	0.093014	2
fg_perimeter_ratio	0.061018	0.025754	0.086772	3
dark_channel_mean	0.044658	0.040685	0.085343	4
bot_high_freq_energy	0.04611	0.03917	0.08528	5
glcm_homogeneity	0.047372	0.02557	0.072942	6
foreground_edge_density	0.029088	0.022175	0.051263	7
total_edge_components	0.034848	0.012586	0.047434	8
mscn_v_pair_mean	0.03664	0.010744	0.047384	9
mscn_kurtosis	0.027666	0.018078	0.045743	10
foreground_blob_pa_ratio	0.022659	0.020202	0.04286	11
spectral_rolloff_85	0.033011	0.006008	0.039019	12
contour_count	0.021167	0.010587	0.031754	13
blob_size_cv	0.015738	0.00866	0.024399	14
mid_high_freq_energy	0.016282	0.007826	0.024107	15
keypoint_loss_ratio	0.018146	0.005437	0.023584	16
blob_compactness_std	0.013127	0.010036	0.023162	17
small_edge_components	0.00871	0.014085	0.022795	18
edge_fine_coarse_ratio	0.01	0.010662	0.020662	19
mid_laplacian_var	0.014686	0.00581	0.020496	20
blob_compactness_mean	0.00801	0.01115	0.01916	21
glcm_entropy	0.017421	0.001437	0.018858	22
band_energy_fine_over_coarse	0.019678	-0.000889	0.018789	23
temporal_diff_std	0.015248	0.003448	0.018695	24
fast_keypoints_half	0.010319	0.0072	0.017519	25
mean_brightness	0.006912	0.009513	0.016426	26
fg_quadrant_imbalance	0.009129	0.007005	0.016134	27
foreground_blob_area_mean	0.00718	0.007023	0.014204	28
subband_entropy	0.024628	-0.011241	0.013388	29
mscn_std	0.013938	-0.00099	0.012948	30
contour_large_fraction	0.007591	0.004387	0.011978	31
motion_vertical_bias	0.003357	0.008328	0.011685	32
foreground_blob_count	0.004401	0.006276	0.010677	33
ratio_top_bot_laplacian_var	0.010429	-0.00038	0.010049	34
saturation_std	0.017566	-0.007851	0.009715	35
temporal_diff_kurtosis	0.00711	0.002541	0.009651	36
shadow_pixel_ratio	0.006346	0.002887	0.009232	37
top_edge_density	-0.000252	0.007304	0.007052	38
image_entropy	0.002075	0.004758	0.006833	39
feature_congestion	0.002076	0.004652	0.006728	40
contour_small_fraction	0.00194	0.004397	0.006337	41
blob_aspect_ratio_std	0.000901	0.005209	0.00611	42
temporal_diff_skewness	0.005532	0.000413	0.005945	43
top_laplacian_var	0.010443	-0.004937	0.005505	44
blob_aspect_ratio_mean	0.004448	0.000398	0.004846	45
laplacian_mean_abs	-0.004468	0.008682	0.004213	46
blob_overlap_count	0.000835	0.003369	0.004204	47
blob_small_fraction	0.003064	0.000749	0.003813	48
mid_edge_density	-0.017948	0.021756	0.003808	49
spectral_centroid	0.001428	0.001729	0.003157	50
downsample_info_loss	-0.00296	0.005632	0.002671	51
brightness_std	-0.000162	0.002825	0.002663	52
blob_nn_dist_mean	-0.002259	0.003901	0.001642	53
glcm_energy	-0.00314	0.004422	0.001283	54
blob_large_fraction	-0.002308	0.003027	0.000718	55
blob_nn_dist_std	-0.001923	0.001522	-0.000401	56
dct_high_freq_ratio	0.006323	-0.007153	-0.00083	57
glcm_contrast	0.003212	-0.004151	-0.000938	58
mscn_mean	-0.000692	-0.000261	-0.000953	59
ratio_top_bot_edge_density	0.005226	-0.006366	-0.00114	60
foreground_pixel_ratio	-0.002939	0.001371	-0.001568	61
ratio_top_bot_gradient_std	-0.002983	0.001363	-0.001619	62
edge_density_coarse	-0.000134	-0.002724	-0.002858	63
rms_contrast	0.005697	-0.008852	-0.003155	64
bot_gradient_std	-0.004111	0.000698	-0.003413	65
fast_keypoints_full	-0.001188	-0.004114	-0.005301	66
motion_spatial_entropy	-0.002886	-0.002429	-0.005315	67
edge_density_fine	-0.004705	-0.001635	-0.00634	68
motion_pixel_ratio	-0.011155	0.003763	-0.007392	69
colorfulness	-0.013576	0.006131	-0.007445	70
bot_laplacian_var	-0.005881	-0.001835	-0.007716	71
mscn_skewness	0.004656	-0.012544	-0.007888	72
foreground_blob_area_std	-0.007476	-0.000958	-0.008434	73
fg_center_of_mass_x	-0.008046	-0.000629	-0.008675	74
downsample_ssim	-0.009978	0.000794	-0.009183	75
fft_high_freq_energy_ratio	-0.010708	0.000727	-0.009981	76
fg_center_of_mass_y	-0.017187	0.007149	-0.010038	77
gabor_nyquist_energy	-0.01411	0.00399	-0.01012	78
fft_critical_band_ratio	-0.006423	-0.003869	-0.010292	79
top_gradient_std	-0.009314	-0.001203	-0.010516	80
bot_edge_density	0.006744	-0.017393	-0.010649	81
overall_edge_density	-0.008435	-0.003361	-0.011795	82
mscn_v_pair_std	-0.0089	-0.005123	-0.014022	83
gradient_magnitude_std	-0.011242	-0.003372	-0.014614	84
contour_hierarchy_depth	-0.013549	-0.001981	-0.015531	85
laplacian_variance	-0.016283	-0.000599	-0.016882	86
temporal_diff_mean	-0.00939	-0.007937	-0.017328	87
top_high_freq_energy	-0.01079	-0.00665	-0.01744	88
motion_concentration	-0.013245	-0.004544	-0.017789	89
spatial_frequency	-0.013784	-0.004482	-0.018265	90
gradient_magnitude_mean	-0.011278	-0.007682	-0.01896	91
contour_closed_ratio	-0.001723	-0.018478	-0.020201	92
mid_gradient_std	-0.017232	-0.005151	-0.022382	93
mscn_h_pair_std	-0.013837	-0.010863	-0.0247	94
mscn_h_pair_mean	-0.012281	-0.015058	-0.027339	95
