threshold	n_solvable	n_total	controller	energy_savings_pct	adequate_rate	correct_rate	over_provision_rate	mean_miss_rate	pct_nano	pct_small	pct_medium	switches_per_100
0.3	1531	4236	AlwaysNano	65.64	12.8	12.8	0.0	0.4479	100.0	0.0	0.0	0.0
0.3	1531	4236	AlwaysSmall	48.22	41.93	29.13	12.8	0.307689	0.0	100.0	0.0	0.0
0.3	1531	4236	AlwaysMedium	-0.0	100.0	58.07	41.93	0.225508	0.0	0.0	100.0	0.0
0.3	1531	4236	Oracle	22.45	100.0	100.0	0.0	0.242095	12.8	29.1	58.1	12.72
0.3	1531	4236	DirectThreshold(mn=0.08,ms=0.00)	6.69	98.82	63.42	35.4	0.226082	5.5	6.4	88.1	3.42
0.3	1531	4236	GreedyBayes(lu=10.0)	8.78	97.26	65.77	31.48	0.228771	8.6	6.5	84.9	4.04
0.3	1531	4236	MultiStepMPC(lu=10.0,ws=0.01)	8.29	97.45	65.12	32.33	0.228897	8.2	6.1	85.8	4.34
0.3	1531	4236	MultiStepMPC_Rich(lu=10.0,ws=0.01,lo=0.1)	8.32	97.39	65.06	32.33	0.228909	8.2	6.1	85.7	4.44
0.35	2333	4236	AlwaysNano	65.64	12.6	12.6	0.0	0.492985	100.0	0.0	0.0	0.0
0.35	2333	4236	AlwaysSmall	48.22	47.06	34.46	12.6	0.345884	0.0	100.0	0.0	0.0
0.35	2333	4236	AlwaysMedium	-0.0	100.0	52.94	47.06	0.259868	0.0	0.0	100.0	0.0
0.35	2333	4236	Oracle	24.89	100.0	100.0	0.0	0.286837	12.6	34.5	52.9	19.36
0.35	2333	4236	DirectThreshold(mn=0.00,ms=0.00)	6.52	97.9	58.68	39.22	0.263652	6.3	4.9	88.8	3.82
0.35	2333	4236	GreedyBayes(lu=10.0)	7.75	96.61	58.68	37.93	0.266665	6.8	6.9	86.4	4.53
0.35	2333	4236	MultiStepMPC(lu=20.0,ws=0.0)	6.71	97.73	58.51	39.22	0.263816	6.0	5.7	88.3	4.01
0.35	2333	4236	MultiStepMPC_Rich(lu=20.0,ws=0.0,lo=0.3)	6.75	97.73	58.59	39.13	0.26389	6.0	5.8	88.2	3.82
0.4	3098	4236	AlwaysNano	65.64	15.46	15.46	0.0	0.525671	100.0	0.0	0.0	0.0
0.4	3098	4236	AlwaysSmall	48.22	54.97	39.51	15.46	0.375573	0.0	100.0	0.0	0.0
0.4	3098	4236	AlwaysMedium	-0.0	100.0	45.03	54.97	0.288139	0.0	0.0	100.0	0.0
0.4	3098	4236	Oracle	29.2	100.0	100.0	0.0	0.328844	15.5	39.5	45.0	26.27
0.4	3098	4236	DirectThreshold(mn=0.00,ms=0.02)	6.1	97.48	49.42	48.06	0.293329	5.4	5.3	89.3	3.75
0.4	3098	4236	GreedyBayes(lu=10.0)	12.58	92.22	50.19	42.03	0.306736	5.8	18.1	76.0	13.01
0.4	3098	4236	MultiStepMPC(lu=20.0,ws=0.5)	8.13	95.32	48.97	46.35	0.298174	5.4	9.5	85.1	4.3
0.4	3098	4236	MultiStepMPC_Rich(lu=20.0,ws=0.5,lo=0.1)	8.25	95.16	48.93	46.22	0.298594	5.5	9.7	84.9	4.25
0.5	4004	4236	AlwaysNano	65.64	26.97	26.97	0.0	0.559234	100.0	0.0	0.0	0.0
0.5	4004	4236	AlwaysSmall	48.22	77.85	50.87	26.97	0.412335	0.0	100.0	0.0	0.0
0.5	4004	4236	AlwaysMedium	-0.0	100.0	22.15	77.85	0.322763	0.0	0.0	100.0	0.0
0.5	4004	4236	Oracle	42.24	100.0	100.0	0.0	0.404781	27.0	50.9	22.2	32.18
0.5	4004	4236	DirectThreshold(mn=0.10,ms=0.00)	33.38	87.14	45.18	41.96	0.380841	4.2	63.5	32.3	17.61
0.5	4004	4236	GreedyBayes(lu=10.0)	42.88	81.24	52.35	28.9	0.403562	10.8	74.2	15.0	11.4
0.5	4004	4236	MultiStepMPC(lu=20.0,ws=0.2)	39.89	82.74	49.73	33.02	0.397841	10.4	68.5	21.1	11.73
0.5	4004	4236	MultiStepMPC_Rich(lu=20.0,ws=0.5,lo=0.1)	39.95	82.74	49.83	32.92	0.398185	10.6	68.4	21.0	10.69
