threshold	n_solvable	n_total	controller	energy_savings_pct	adequate_rate	correct_rate	over_provision_rate	mean_miss_rate	pct_nano	pct_small	pct_medium	switches_per_100
0.3	1531	4236	AlwaysNano	65.64	12.8	12.8	0.0	0.4479	100.0	0.0	0.0	0.0
0.3	1531	4236	AlwaysSmall	48.22	41.93	29.13	12.8	0.307689	0.0	100.0	0.0	0.0
0.3	1531	4236	AlwaysMedium	-0.0	100.0	58.07	41.93	0.225508	0.0	0.0	100.0	0.0
0.3	1531	4236	Oracle	22.45	100.0	100.0	0.0	0.242095	12.8	29.1	58.1	12.72
0.3	1531	4236	DirectThreshold(mn=0.08,ms=0.00)	6.69	98.82	63.42	35.4	0.226082	5.5	6.4	88.1	3.42
0.3	1531	4236	WorstCaseThreshold(mn=0.05,ms=0.00)	6.28	98.95	63.1	35.86	0.225795	5.2	6.0	88.8	3.14
0.3	1531	4236	WeightedThreshold(mn=0.08,ms=0.00)	6.74	98.76	63.68	35.08	0.226339	5.9	5.9	88.2	3.61
0.3	1531	4236	VarianceAwareThreshold(mn=0.08,ms=0.00,g=0.0)	6.69	98.82	63.42	35.4	0.226082	5.5	6.4	88.1	3.42
0.3	1531	4236	AnyStepThreshold(mn=0.05,ms=0.00)	6.28	98.95	63.1	35.86	0.225795	5.2	6.0	88.8	3.14
0.3	1531	4236	EnergyPenalty(lu=10.0)	8.78	97.26	65.77	31.48	0.228771	8.6	6.5	84.9	4.04
0.35	2333	4236	AlwaysNano	65.64	12.6	12.6	0.0	0.492985	100.0	0.0	0.0	0.0
0.35	2333	4236	AlwaysSmall	48.22	47.06	34.46	12.6	0.345884	0.0	100.0	0.0	0.0
0.35	2333	4236	AlwaysMedium	-0.0	100.0	52.94	47.06	0.259868	0.0	0.0	100.0	0.0
0.35	2333	4236	Oracle	24.89	100.0	100.0	0.0	0.286837	12.6	34.5	52.9	19.36
0.35	2333	4236	DirectThreshold(mn=0.00,ms=0.00)	6.52	97.9	58.68	39.22	0.263652	6.3	4.9	88.8	3.82
0.35	2333	4236	WorstCaseThreshold(mn=0.10,ms=0.00)	5.59	98.5	56.54	41.96	0.261838	3.4	7.0	89.6	3.92
0.35	2333	4236	WeightedThreshold(mn=0.00,ms=0.00)	6.44	97.94	58.59	39.35	0.263537	6.2	4.9	88.9	3.9
0.35	2333	4236	VarianceAwareThreshold(mn=0.00,ms=0.00,g=0.0)	6.52	97.9	58.68	39.22	0.263652	6.3	4.9	88.8	3.82
0.35	2333	4236	AnyStepThreshold(mn=0.10,ms=0.00)	5.59	98.5	56.54	41.96	0.261838	3.4	7.0	89.6	3.92
0.35	2333	4236	EnergyPenalty(lu=20.0)	6.97	97.56	58.98	38.58	0.264557	6.6	5.5	87.9	3.8
0.4	3098	4236	AlwaysNano	65.64	15.46	15.46	0.0	0.525671	100.0	0.0	0.0	0.0
0.4	3098	4236	AlwaysSmall	48.22	54.97	39.51	15.46	0.375573	0.0	100.0	0.0	0.0
0.4	3098	4236	AlwaysMedium	-0.0	100.0	45.03	54.97	0.288139	0.0	0.0	100.0	0.0
0.4	3098	4236	Oracle	29.2	100.0	100.0	0.0	0.328844	15.5	39.5	45.0	26.27
0.4	3098	4236	DirectThreshold(mn=0.00,ms=0.02)	6.1	97.48	49.42	48.06	0.293329	5.4	5.3	89.3	3.75
0.4	3098	4236	WorstCaseThreshold(mn=0.00,ms=0.00)	6.53	97.0	49.0	48.0	0.294174	5.0	6.8	88.3	4.6
0.4	3098	4236	WeightedThreshold(mn=0.00,ms=0.02)	6.03	97.55	49.42	48.13	0.293151	5.3	5.3	89.4	3.73
0.4	3098	4236	VarianceAwareThreshold(mn=0.00,ms=0.02,g=0.0)	6.1	97.48	49.42	48.06	0.293329	5.4	5.3	89.3	3.75
0.4	3098	4236	AnyStepThreshold(mn=0.00,ms=0.00)	6.53	97.0	49.0	48.0	0.294174	5.0	6.8	88.3	4.6
0.4	3098	4236	EnergyPenalty(lu=20.0)	8.36	95.13	49.0	46.13	0.298978	5.6	9.7	84.7	5.88
0.5	4004	4236	AlwaysNano	65.64	26.97	26.97	0.0	0.559234	100.0	0.0	0.0	0.0
0.5	4004	4236	AlwaysSmall	48.22	77.85	50.87	26.97	0.412335	0.0	100.0	0.0	0.0
0.5	4004	4236	AlwaysMedium	-0.0	100.0	22.15	77.85	0.322763	0.0	0.0	100.0	0.0
0.5	4004	4236	Oracle	42.24	100.0	100.0	0.0	0.404781	27.0	50.9	22.2	32.18
0.5	4004	4236	DirectThreshold(mn=0.10,ms=0.00)	33.38	87.14	45.18	41.96	0.380841	4.2	63.5	32.3	17.61
0.5	4004	4236	WorstCaseThreshold(mn=0.08,ms=0.00)	32.44	87.54	44.41	43.13	0.379126	4.1	61.6	34.2	18.04
0.5	4004	4236	WeightedThreshold(mn=0.08,ms=0.00)	33.58	86.96	45.35	41.61	0.381373	4.6	63.4	32.0	18.22
0.5	4004	4236	VarianceAwareThreshold(mn=0.10,ms=0.00,g=0.0)	33.38	87.14	45.18	41.96	0.380841	4.2	63.5	32.3	17.61
0.5	4004	4236	AnyStepThreshold(mn=0.08,ms=0.00)	32.44	87.54	44.41	43.13	0.379126	4.1	61.6	34.2	18.04
0.5	4004	4236	EnergyPenalty(lu=20.0)	39.63	82.79	49.68	33.12	0.397725	10.6	67.7	21.7	12.91
