threshold	controller	opt_metric	config	energy_savings_pct	adequate_rate	ewq	mras	pareto	trmr	correct_rate	over_provision_rate	mean_miss_rate	pct_nano	pct_small	pct_medium	switches_per_100	n_solvable	n_total
0.3	AlwaysNano	none		65.6444	12.8021	0.118996	-0.787941	0.084039	-0.131285	12.8021	0.0	0.4479	100.0	0.0	0.0	0.0	1531	4236
0.3	AlwaysSmall	none		48.221	41.9334	0.164814	-0.385236	0.202207	0.105965	29.1313	12.8021	0.307689	0.0	100.0	0.0	0.0	1531	4236
0.3	AlwaysMedium	none		0.0	100.0	0.248322	-0.001306	0.0	-5e-06	58.0666	41.9334	0.225508	0.0	0.0	100.0	0.0	1531	4236
0.3	Oracle	none		22.4513	100.0	0.261611	0.224513	0.224513	0.155918	100.0	0.0	0.242095	12.8	29.13	58.07	12.72	1531	4236
0.3	DirectThreshold	binary	mn=0.08,ms=0.00	6.6883	98.8243	0.292379	0.048007	0.066097	0.017977	63.4226	35.4017	0.226082	5.49	6.4	88.11	3.42	1531	4236
0.3	DirectThreshold	ewq	mn=0.02,ms=0.00	6.9842	98.4324	0.29185	0.04436	0.068747	0.016915	64.2717	34.1607	0.22699	7.18	4.7	88.11	3.4	1531	4236
0.3	DirectThreshold	mras	mn=0.08,ms=0.00	6.6883	98.8243	0.292379	0.048007	0.066097	0.017977	63.4226	35.4017	0.226082	5.49	6.4	88.11	3.42	1531	4236
0.3	DirectThreshold	pareto	mn=0.00,ms=0.00	7.1549	98.3671	0.292307	0.044644	0.070381	0.017256	64.9249	33.4422	0.227073	8.16	3.72	88.11	3.26	1531	4236
0.3	DirectThreshold	trmr	mn=0.00,ms=0.00	7.1549	98.3671	0.292307	0.044644	0.070381	0.017256	64.9249	33.4422	0.227073	8.16	3.72	88.11	3.26	1531	4236
0.3	EnergyPenalty	binary	lu=10.0	8.7779	97.2567	0.292202	0.044416	0.085371	0.023618	65.774	31.4827	0.228771	8.62	6.47	84.91	4.04	1531	4236
0.3	EnergyPenalty	ewq	lu=10.0	8.7779	97.2567	0.292202	0.044416	0.085371	0.023618	65.774	31.4827	0.228771	8.62	6.47	84.91	4.04	1531	4236
0.3	EnergyPenalty	mras	lu=10.0	8.7779	97.2567	0.292202	0.044416	0.085371	0.023618	65.774	31.4827	0.228771	8.62	6.47	84.91	4.04	1531	4236
0.3	EnergyPenalty	pareto	lu=3.0	49.8879	41.2149	0.190043	-0.376254	0.205612	0.102823	36.708	4.5069	0.305597	9.93	89.94	0.13	4.15	1531	4236
0.3	EnergyPenalty	trmr	lu=3.0	49.8879	41.2149	0.190043	-0.376254	0.205612	0.102823	36.708	4.5069	0.305597	9.93	89.94	0.13	4.15	1531	4236
0.35	AlwaysNano	none		65.6444	12.6018	0.091416	-0.791258	0.082724	-0.115524	12.6018	0.0	0.492985	100.0	0.0	0.0	0.0	2333	4236
0.35	AlwaysSmall	none		48.221	47.0639	0.169944	-0.306226	0.226947	0.134612	34.4621	12.6018	0.345884	0.0	100.0	0.0	0.0	2333	4236
0.35	AlwaysMedium	none		0.0	100.0	0.257521	0.0	0.0	0.0	52.9361	47.0639	0.259868	0.0	0.0	100.0	0.0	2333	4236
0.35	Oracle	none		24.8903	100.0	0.242292	0.248903	0.248903	0.187078	100.0	0.0	0.286837	12.6	34.46	52.94	19.36	2333	4236
0.35	DirectThreshold	binary	mn=0.00,ms=0.00	6.5206	97.8997	0.285514	0.032731	0.063837	0.017911	58.6798	39.2199	0.263652	6.34	4.89	88.77	3.82	2333	4236
0.35	DirectThreshold	ewq	mn=0.08,ms=0.00	6.2219	98.0283	0.286771	0.032172	0.060992	0.016796	57.3939	40.6344	0.262806	4.63	6.6	88.77	3.99	2333	4236
