model	mse_within	mse_cross	mae_within	mae_cross	cls_acc_within	cls_acc_cross	cls_trans_within	cls_trans_cross	majority_acc_within	majority_acc_cross	unc_sep_within	unc_sep_cross	cls_acc_cdf_within	cls_acc_cdf_cross	cls_trans_cdf_within	cls_trans_cdf_cross	n_within	n_cross	config	status	description
EvidentialLSTM	0.014629	0.028713	0.090549	0.131381	0.987300	0.984832	0.512821	0.495146	0.989652	0.984832	0.002211	0.018791	0.987300	0.984832	0.512821	0.495146	6378	4615	{"mode": "evidential", "model": "EvidentialLSTM", "n_features": 35, "window": 30, "horizon": 30, "sub_window": 6, "n_steps": 5, "hidden_size": 128, "n_layers": 2, "dropout": 0.4, "lr": 0.001, "batch_size": 64, "t1_percentile": 10, "t2_percentile": 85, "t1": 0.0, "t2": 0.8333, "lambda1": 0.3}	keep	baseline: lambda1=0.3, t1=p10, t2=p85, h128, L2, d0.4, lr=1e-3, bs=64
EvidentialLSTM	0.015581	0.021819	0.093799	0.117886	0.988868	0.985049	0.504274	0.504854	0.989652	0.984832	0.004780	0.009709	0.988868	0.985049	0.504274	0.504854	6378	4615	{"lambda1":0.01}	discard	lambda1=0.01: mse_within worse (0.0156 vs 0.0146)
EvidentialLSTM	0.015060	0.028763	0.091199	0.132349	0.989652	0.984832	0.504274	0.495146	0.989652	0.984832	0.009786	0.022846	0.989652	0.984832	0.504274	0.495146	6378	4615	{"lambda1":0.05}	discard	lambda1=0.05: mse_within worse (0.0151 vs 0.0146)
EvidentialLSTM	0.015535	0.025077	0.093593	0.124290	0.988868	0.985049	0.512821	0.504854	0.989652	0.984832	0.002965	0.015633	0.988868	0.985049	0.512821	0.504854	6378	4615	{"lambda1":0.1}	discard	lambda1=0.1: mse_within worse (0.0155 vs 0.0146)
EvidentialLSTM	0.014648	0.024308	0.090779	0.123220	0.989652	0.984832	0.504274	0.495146	0.989652	0.984832	0.007401	0.021153	0.989652	0.984832	0.504274	0.495146	6378	4615	{"lambda1":0.25}	discard	lambda1=0.25: mse_within ~same (0.01465 vs 0.01463), within noise
EvidentialLSTM	0.016531	0.025511	0.097533	0.125015	0.986987	0.985049	0.512821	0.504854	0.989652	0.984832	-0.145246	-0.055926	0.986830	0.985049	0.512821	0.504854	6378	4615	{"lambda1":0.5}	discard	lambda1=0.5: mse_within worse + unc_sep<0
EvidentialLSTM	0.015277	0.031530	0.092883	0.137039	0.989338	0.984832	0.504274	0.495146	0.989652	0.984832	-61.382797	-173.926910	0.989338	0.984832	0.504274	0.495146	6378	4615	{"lambda1":1.0}	discard	lambda1=1.0: mse_within worse + unc_sep wildly negative
EvidentialLSTM	0.014629	0.028713	0.090549	0.131381	0.709470	0.783532	0.526891	0.519370	0.772970	0.829686	-0.041083	-0.024074	0.709784	0.782232	0.527731	0.514528	6378	4615	{"t1_percentile":10,"t2_percentile":67}	discard	t2=p67: unc_sep_within<0
EvidentialLSTM	0.014629	0.028713	0.090549	0.131381	0.709470	0.783532	0.526891	0.519370	0.772970	0.829686	-0.041083	-0.024074	0.709784	0.782232	0.527731	0.514528	6378	4615	{"t1_percentile":10,"t2_percentile":70}	discard	t2=p70: same as p67 (0.6667), unc_sep<0
EvidentialLSTM	0.014629	0.028713	0.090549	0.131381	0.777516	0.839437	0.521695	0.513393	0.835372	0.878007	-0.034987	-0.027373	0.777203	0.838137	0.523713	0.513393	6378	4615	{"t1_percentile":10,"t2_percentile":75}	discard	t2=p75: unc_sep<0
