model	mse_within	mse_cross	mae_within	mae_cross	cls_acc_within	cls_acc_cross	cls_trans_within	cls_trans_cross	majority_acc_within	majority_acc_cross	n_within	n_cross	config	status	description
LSTM	0.016274	0.022796	0.098507	0.118320	0.986987	0.984832	0.512821	0.495146	0.989652	0.984832	6378	4615	{"mode":"lstm","model":"LSTM","n_features":35,"window":30,"horizon":30,"sub_window":6,"n_steps":5,"hidden_size":128,"n_layers":2,"dropout":0.4,"lr":0.001,"batch_size":64,"t1_percentile":10,"t2_percentile":85,"t1":0.0,"t2":0.8333}	kept	baseline default config
LSTM	0.016274	0.022796	0.098507	0.118320	0.933208	0.942795	0.532129	0.498783	0.848228	0.943012	6378	4615	{"mode":"lstm","model":"LSTM","n_features":35,"window":30,"horizon":30,"sub_window":6,"n_steps":5,"hidden_size":128,"n_layers":2,"dropout":0.4,"lr":0.001,"batch_size":64,"t1_percentile":20,"t2_percentile":85,"t1":0.175,"t2":0.8333}	kept	t1_percentile=20
LSTM	0.016274	0.022796	0.098507	0.118320	0.947632	0.839870	0.524887	0.507426	0.800408	0.822535	6378	4615	{"mode":"lstm","model":"LSTM","n_features":35,"window":30,"horizon":30,"sub_window":6,"n_steps":5,"hidden_size":128,"n_layers":2,"dropout":0.4,"lr":0.001,"batch_size":64,"t1_percentile":25,"t2_percentile":85,"t1":0.3221,"t2":0.8333}	discarded	t1_percentile=25 (cls_trans_within worse)
LSTM	0.016274	0.022796	0.098507	0.118320	0.946221	0.833586	0.515556	0.504785	0.797272	0.808884	6378	4615	{"mode":"lstm","model":"LSTM","n_features":35,"window":30,"horizon":30,"sub_window":6,"n_steps":5,"hidden_size":128,"n_layers":2,"dropout":0.4,"lr":0.001,"batch_size":64,"t1_percentile":30,"t2_percentile":85,"t1":0.3333,"t2":0.8333}	discarded	t1_percentile=30 (cls_trans worse)
LSTM	0.016274	0.022796	0.098507	0.118320	0.946221	0.836836	0.513393	0.514085	0.795547	0.795450	6378	4615	{"mode":"lstm","model":"LSTM","n_features":35,"window":30,"horizon":30,"sub_window":6,"n_steps":5,"hidden_size":128,"n_layers":2,"dropout":0.4,"lr":0.001,"batch_size":64,"t1_percentile":33,"t2_percentile":85,"t1":0.3386,"t2":0.8333}	discarded	t1_percentile=33 (cls_trans worse)
LSTM	0.016274	0.022796	0.098507	0.118320	0.640169	0.758397	0.523931	0.516844	0.631546	0.787866	6378	4615	{"mode":"lstm","model":"LSTM","n_features":35,"window":30,"horizon":30,"sub_window":6,"n_steps":5,"hidden_size":128,"n_layers":2,"dropout":0.4,"lr":0.001,"batch_size":64,"t1_percentile":20,"t2_percentile":67,"t1":0.175,"t2":0.6667}	discarded	t2_percentile=67 (cls_trans worse)
LSTM	0.016274	0.022796	0.098507	0.118320	0.640169	0.758397	0.523931	0.516844	0.631546	0.787866	6378	4615	{"mode":"lstm","model":"LSTM","n_features":35,"window":30,"horizon":30,"sub_window":6,"n_steps":5,"hidden_size":128,"n_layers":2,"dropout":0.4,"lr":0.001,"batch_size":64,"t1_percentile":20,"t2_percentile":70,"t1":0.175,"t2":0.6667}	discarded	t2_percentile=70 (same as p67)
LSTM	0.016274	0.022796	0.098507	0.118320	0.678896	0.810834	0.513869	0.497955	0.693948	0.836186	6378	4615	{"mode":"lstm","model":"LSTM","n_features":35,"window":30,"horizon":30,"sub_window":6,"n_steps":5,"hidden_size":128,"n_layers":2,"dropout":0.4,"lr":0.001,"batch_size":64,"t1_percentile":20,"t2_percentile":75,"t1":0.175,"t2":0.6944}	discarded	t2_percentile=75 (cls_trans worse)
LSTM	0.016274	0.022796	0.098507	0.118320	0.821888	0.902492	0.508269	0.498423	0.792568	0.906826	6378	4615	{"mode":"lstm","model":"LSTM","n_features":35,"window":30,"horizon":30,"sub_window":6,"n_steps":5,"hidden_size":128,"n_layers":2,"dropout":0.4,"lr":0.001,"batch_size":64,"t1_percentile":20,"t2_percentile":80,"t1":0.175,"t2":0.754}	discarded	t2_percentile=80 (cls_trans worse)
LSTM	0.014900	0.027199	0.094089	0.129020	0.933208	0.942362	0.493976	0.498783	0.848228	0.943012	6378	4615	{"mode":"lstm","model":"LSTM","n_features":35,"window":30,"horizon":30,"sub_window":6,"n_steps":5,"hidden_size":64,"n_layers":2,"dropout":0.4,"lr":0.001,"batch_size":64,"t1_percentile":20,"t2_percentile":85,"t1":0.175,"t2":0.8333}	discarded	hidden=64 (cls_trans<0.50 + cross_mse +19%)
