model	mse_within	mse_cross	mae_within	mae_cross	cls_acc_within	cls_acc_cross	cls_trans_within	cls_trans_cross	majority_acc_within	majority_acc_cross	unc_sep_within	unc_sep_cross	cls_acc_cdf_within	cls_acc_cdf_cross	cls_trans_cdf_within	cls_trans_cdf_cross	n_within	n_cross	config	status	description
EvidentialLSTM	0.014940	0.032299	0.090846	0.143845	0.949721	0.945863	0.515012	0.500000	0.850599	0.945863	0.163483	0.067805	0.948603	0.945863	0.501155	0.500000	6265	4544	{"mode": "evidential", "model": "EvidentialLSTM", "n_features": 65, "window": 30, "horizon": 30, "sub_window": 6, "n_steps": 5, "hidden_size": 128, "n_layers": 4, "dropout": 0.4, "lr": 0.001, "batch_size": 64, "t1_percentile": 20, "t2_percentile": 90, "t1": 0.1944, "t2": 0.8611, "lambda1": 0.3}	kept	S65 baseline: best ALL_75 config with SPATIAL_65 only
EvidentialLSTM	0.016142	0.027953	0.094315	0.135083	0.937909	0.945863	0.517321	0.500000	0.850599	0.945863	0.041391	0.033545	0.939186	0.945863	0.528868	0.500000	6265	4544	{"mode": "evidential", "model": "EvidentialLSTM", "n_features": 65, "window": 30, "horizon": 30, "sub_window": 6, "n_steps": 5, "hidden_size": 128, "n_layers": 4, "dropout": 0.4, "lr": 0.001, "batch_size": 64, "t1_percentile": 20, "t2_percentile": 90, "t1": 0.1944, "t2": 0.8611, "lambda1": 0.1}	discarded	lambda1=0.1: mse_within worse (0.01614 vs 0.01494)
EvidentialLSTM	0.015538	0.021295	0.092854	0.117369	0.943655	0.946083	0.498845	0.502525	0.850599	0.945863	4.218430	1.464774	0.943496	0.945863	0.503464	0.502525	6265	4544	{"mode": "evidential", "model": "EvidentialLSTM", "n_features": 65, "window": 30, "horizon": 30, "sub_window": 6, "n_steps": 5, "hidden_size": 128, "n_layers": 4, "dropout": 0.4, "lr": 0.001, "batch_size": 64, "t1_percentile": 20, "t2_percentile": 90, "t1": 0.1944, "t2": 0.8611, "lambda1": 0.5}	discarded	lambda1=0.5: mse_within worse (0.01554), cls_trans<0.50
EvidentialLSTM	0.013607	0.020347	0.087412	0.115756	0.945092	0.945863	0.556582	0.500000	0.850599	0.945863	0.145716	0.072977	0.942857	0.945863	0.533487	0.500000	6265	4544	{"mode": "evidential", "model": "EvidentialLSTM", "n_features": 65, "window": 30, "horizon": 30, "sub_window": 6, "n_steps": 5, "hidden_size": 128, "n_layers": 4, "dropout": 0.4, "lr": 0.001, "batch_size": 64, "t1_percentile": 20, "t2_percentile": 90, "t1": 0.1944, "t2": 0.8611, "lambda1": 0.25}	kept	[4CAM] lambda1=0.25: mse_within improved 0.01494->0.01361
EvidentialLSTM	0.010840	0.010840	0.082556	0.082556	0.941529	0.941529	0.496552	0.496552	0.941529	0.941529	0.000366	0.000366	0.941529	0.941529	0.496552	0.496552	2172	2172	{"mode": "evidential", "model": "EvidentialLSTM", "n_features": 65, "window": 30, "horizon": 30, "sub_window": 6, "n_steps": 5, "hidden_size": 128, "n_layers": 4, "dropout": 0.4, "lr": 0.001, "batch_size": 64, "t1_percentile": 20, "t2_percentile": 90, "t1": 0.4788, "t2": 1.0, "lambda1": 0.25, "single_cam": "Eastgate"}	kept	[1CAM] Eastgate baseline: majority-class predictor, t2=1.0 too high
EvidentialLSTM	0.010840	0.010840	0.082556	0.082556	0.878913	0.878913	0.500000	0.500000	0.895028	0.895028	0.000284	0.000284	0.874770	0.874770	0.503571	0.503571	2172	2172	{"mode": "evidential", "model": "EvidentialLSTM", "n_features": 65, "window": 30, "horizon": 30, "sub_window": 6, "n_steps": 5, "hidden_size": 128, "n_layers": 4, "dropout": 0.4, "lr": 0.001, "batch_size": 64, "t1_percentile": 25, "t2_percentile": 75, "t1": 0.5, "t2": 0.8333, "lambda1": 0.25, "single_cam": "Eastgate"}	kept	[1CAM] t1=25/t2=75: cls_acc below majority, unc_sep~0
EvidentialLSTM	0.010840	0.010840	0.082556	0.082556	0.929098	0.929098	0.496894	0.496894	0.937385	0.937385	0.000283	0.000283	0.926335	0.926335	0.496894	0.496894	2172	2172	{"mode": "evidential", "model": "EvidentialLSTM", "n_features": 65, "window": 30, "horizon": 30, "sub_window": 6, "n_steps": 5, "hidden_size": 128, "n_layers": 4, "dropout": 0.4, "lr": 0.001, "batch_size": 64, "t1_percentile": 20, "t2_percentile": 80, "t1": 0.4788, "t2": 0.8638, "lambda1": 0.25, "single_cam": "Eastgate"}	discarded	[1CAM] t1=20/t2=80: cls_trans<0.50, unc_sep~0
EvidentialLSTM	0.013835	0.013835	0.095333	0.095333	0.937385	0.937385	0.496894	0.496894	0.937385	0.937385	-0.000698	-0.000698	0.937385	0.937385	0.496894	0.496894	2172	2172	{"mode": "evidential", "model": "EvidentialLSTM", "n_features": 65, "window": 30, "horizon": 30, "sub_window": 6, "n_steps": 5, "hidden_size": 64, "n_layers": 2, "dropout": 0.2, "lr": 0.001, "batch_size": 64, "t1_percentile": 20, "t2_percentile": 80, "t1": 0.4788, "t2": 0.8638, "lambda1": 0.1, "single_cam": "Eastgate"}	discarded	[1CAM] h64/L2/d0.2/lam0.1: worse mse, unc_sep<0
EvidentialLSTM	0.010176	0.010176	0.081182	0.081182	0.813076	0.813076	0.493363	0.493363	0.814457	0.814457	0.000033	0.000033	0.814457	0.814457	0.495575	0.495575	2172	2172	{"mode": "evidential", "model": "EvidentialLSTM", "n_features": 65, "window": 30, "horizon": 30, "sub_window": 6, "n_steps": 5, "hidden_size": 64, "n_layers": 3, "dropout": 0.3, "lr": 0.001, "batch_size": 64, "t1_percentile": 33, "t2_percentile": 67, "t1": 0.5296, "t2": 0.8056, "lambda1": 0.25, "single_cam": "Eastgate"}	discarded	[1CAM] h64/L3/t33-67: mse good but cls_trans<0.50
EvidentialLSTM	0.010176	0.010176	0.081182	0.081182	0.941529	0.941529	0.496552	0.496552	0.941529	0.941529	-0.000429	-0.000429	0.941529	0.941529	0.496552	0.496552	2172	2172	{"mode": "evidential", "model": "EvidentialLSTM", "n_features": 65, "window": 30, "horizon": 30, "sub_window": 6, "n_steps": 5, "hidden_size": 64, "n_layers": 3, "dropout": 0.3, "lr": 0.001, "batch_size": 64, "t1_percentile": 20, "t2_percentile": 90, "t1": 0.4788, "t2": 1.0, "lambda1": 0.25, "single_cam": "Eastgate"}	discarded	[1CAM] h64/L3/t20-90: unc_sep<0, cls_trans<0.50, t2=1.0 makes hard class empty
